Family,Species,Alpine,Montane,Foothills,Plains
Skippers,Two-banded Chkrd-Skppr,,May-Jun,,
Skippers,Common Checkered-skipper,,Jul-Aug,May-Jul,Apr-Sep
Skippers,Common Sootywing,,Jul,Apr-Jul,May
Skippers,Russet Skipperling,,Jul-Aug,Jun-Jul,Jul
Skippers,Least Skipper,,,,Jun-Aug
Skippers,Garita Skipperling,,Jul,Jun,
Skippers,Uncas Skipper,,,,May-Sep
Skippers,Juba Skipper,,,May-Jun,
Skippers,Western Branded Skipper,,Aug-Sep,Jun-Aug,
Skippers,Ottoe Skipper,,,,Jul
Skippers,Leonard's Skipper,,,,Sep
Skippers,Pahaska Skipper,,Jun-Jul,Jun,
Skippers,Green Skipper,,Jun,May-Jun,
Skippers,Nevada Skipper,,Jun-Jul,Jun,
Skippers,Peck's Skipper,,,,Aug-Sep
Skippers,Draco Skipper,Jul,Jun,Jun,
Skippers,Tawny-edged Skipper,,,,May-Aug
Skippers,Arogos Skipper,,,Jul,Jun-Jul
Skippers,Long Dash,,,,Jun-Aug
Skippers,Woodland Skipper,,Jul-Sep,Jun-Aug,Aug
Skippers,Taxiles Skipper,,,Jun-Sep,Aug-Sep
Skippers,Two-spotted Skipper,,,,Aug
Skippers,Dun Skipper,,,Jun-Aug,
Skippers,Dusted Skipper,,,May-Jul,
Blues,Reakirt's Blue,Aug,Jun-Sep,May,Jun-Jul
Blues,Melissa Blue,,Jun-Aug,Apr-May,May-Jul
Blues,Greenish Blue,Aug-Sep,Jun-Sep,"Jun, Aug-Sep",
Blues,Boisduval's Blue,,Jun-Aug,May,
Blues,Lupine Blue,Jul-Aug,Jun,Jun-Aug,
Blues,Arctic Blue,Aug,Jul,Jun-Jul,
Monarch and Viceroy,Monarch,Aug,Aug,Jul-Aug,Apr-Sep
Monarch and Viceroy,Viceroy,,,,Jun-Aug
Metalmark and Snout,Nais Metalmark,,,Jun-Jul,
Metalmark and Snout,American Snout,,,Jun-Jul,
